title,slug,variant1,variant2
Obama,obama,Obama,Obamas
Clinton,clinton,Clinton,Clintons
Trump,trump,Trump,Trumps
Democrats,democrats,Democrat,Democrats
Republicans,republicans,Republican,Republicans
Liberals,liberals,Liberal,Liberals
Conservatives,conservatives,Conservative,Conservatives
